text,date,user_location
"Jgn kemakan dgn judulnya, baca lengkapnya 👇

Untuk meminimalkan kemungkinan banjir banjir yang bisa saja merendam s… https://t.co/fDJ5kYKhnT",2022-03-27 01:04:34,Jakarta Capital Region
"Progres Pembangunan Sirkuit Formula E Jakarta 87,9 Persen, Target Rampung Mundur Beberapa Hari… https://t.co/AQIdMQSWoK",2022-03-27 00:54:08,Indonesia
"Setelah MotoGP, Mandalika juga akan jadi tuan rumah World SBK tgl 11-13 November. Jakarta di bulan Juni akan menjad… https://t.co/ve680Jbmk5",2022-03-27 00:25:09,
@Dennysiregar7 Moga saja ajang Formula E di Jakarta berlangsung sukses aman dan lancar biar buat bangga bangsa Indonesia,2022-03-27 00:04:47,
"@tempodotco Yg di ktitik seputar Formula E saja,nanti kalau Formula E selesai, ga ada kerjaannya ya,bubar sajalah...JAKARTA TIDAK BUTUH PSI.",2022-03-26 23:47:51,
Kapasitas Kursi Penonton Formula E Jakarta Bakal Mencapai 10 Ribu https://t.co/XcOAn2Zvce #TempoVideo,2022-03-26 23:32:03,Indonesia
@Uki23 Partai yg tidak jelas maunya apa?! https://t.co/8IT8DTuYpA @jakprogroup @Roni_ASC @disporadkijkt @dprddki… https://t.co/OoQHFFklYK,2022-03-26 22:47:02,DKI Jakarta
@HetsiyHetsiy1 @AnggitaWiryo @aniesbaswedan @fauzanindonisi @ilhamjati4 @satriadjenar @tatakujiyati @YeyenAgoestine… https://t.co/R6jmMjHRfy,2022-03-26 16:03:21,DKI Jakarta
"@AnggitaWiryo @aniesbaswedan ada nga sih formula E di jakarta ... jangan jangan, ah jangan lah.",2022-03-26 15:12:50,
"@SantorinisSun Situs resmi Formula E masih memberitakan balapan di jalan raya (real city street), bukan sirkuit. Ba… https://t.co/979NluyVMW",2022-03-26 14:56:46,Yogyakarta
"@ChusnulCh__ @aniesbaswedan Ente HOAX, CEBI ... Baca yg benar!! https://t.co/8IT8DTuYpA @jakprogroup @Roni_ASC… https://t.co/uEo43Yj930",2022-03-26 14:54:46,DKI Jakarta
@tempodotco Partai yg tidak jelas maunya apa?! https://t.co/8IT8DTuYpA @jakprogroup @Roni_ASC @disporadkijkt… https://t.co/hrkthVgkK1,2022-03-26 14:42:50,DKI Jakarta
"@_Lin_Apr1lia Ente HOAX, CEBI ... Baca yg benar!! https://t.co/8IT8DTuYpA @jakprogroup @Roni_ASC @disporadkijkt… https://t.co/g8rXUpU3c2",2022-03-26 14:40:32,DKI Jakarta
